class,Sink,Sink
label,heat_demand,electrical_demand
source,heat_balance,electrical_balance
target,heat_demand,electrical_demand
attribute,actual_value,variable_costs
,0.1569258683,-47.04
,0.1740503842,-45.49
,0.2175136794,-45.49
,0.2993166845,-47.58
,0.3541620446,-51.53
,0.3316082816,-70.04
,0.3062301219,-74.93
,0.2851263663,-78.64
,0.2630026701,-77.87
,0.2502968704,-79.94
,0.2435902264,-78.33
,0.2437331516,-78.99
,0.246778243,-79.98
,0.2542671496,-77.7
,0.2675343843,-84.13
,0.2856671632,-96.41
,0.297276272,-87.05
,0.2837494791,-76.98
,0.2626769986,-65.77
,0.2184679538,-58.86
,0.1507227637,-54.6
,0.1441735159,-46.66
,0.1655940671,-46.17
,0.1700881514,-46.12
,0.1773041705,-45.58
,0.1901486592,-41.02
,0.2237509635,-40.37
,0.2962577996,-47.85
,0.3471333528,-58.38
,0.3351252995,-67.01
,0.315651352,-74.92
,0.2983471149,-74.94
,0.2770327689,-77.96
,0.2642448856,-77.91
,0.256127093,-79.79
,0.2549524913,-79.21
,0.2589620391,-77
,0.2677427087,-76.91
,0.2775301242,-75.9
,0.2933761694,-89.96
,0.3062412067,-88.18
,0.2953162858,-73.43
,0.2754339962,-66.95
,0.2359839151,-55.3
,0.1693646938,-49.96
,0.1625716563,-50.45
,0.1154860344,-49.11
,0.1179217554,-48.41
,0.1233299357,-49.16
,0.1367882996,-45.27
,0.1709466284,-41.23
,0.2352365983,-39.65
,0.2783402294,-30.2
,0.2606149545,-30.24
,0.2406699522,-38.1
,0.2240842557,-40.97
,0.2066969757,-42.84
,0.1967113342,-46.17
,0.1914405016,-46.03
,0.1915528283,-45.05
,0.1939460024,-45.04
,0.1998316246,-49.13
,0.2102585046,-53.03
,0.2245092746,-65.29
,0.2336330134,-66.04
,0.2230021434,-62.09
,0.2064410265,-51.08
,0.1716966041,-49.66
,0.1184548408,-55.08
,0.1133077078,-48.07
,0.1237197599,-53.66
,0.1263291388,-49.96
,0.1321229022,-48.59
,0.1465407975,-47.54
,0.1831344883,-47.9
,0.2520080944,-48.99
,0.2981848543,-49.05
,0.2791958332,-51.85
,0.2578288263,-54.5
,0.2400606312,-66.99
,0.2214337026,-68.67
,0.210736122,-69.56
,0.2050894987,-70.61
,0.2052098338,-61.86
,0.2077736323,-59.86
