class,Sink,Sink
label,HD,ED
source,heat_balance,electrical_balance
target,HD,ED
attribute,actual_value,variable_costs
,0.7955464236,-47.58
,0.9413185517,-51.53
,0.881373462,-70.04
,0.8139214781,-74.93
,0.7578303273,-78.64
,0.6990283015,-77.87
,0.6652578703,-79.94
,0.6474324469,-78.33
,0.6478123242,-78.99
,0.6559057974,-79.98
,0.6758103773,-77.7
,0.7110730328,-84.13
,0.759267698,-96.41
,0.7901232616,-87.05
,0.7541707328,-76.98
,0.6981627073,-65.77
,0.580660579,-58.86
,0.4006023113,-54.6
,0.3831952273,-46.66
,0.4401283813,-46.17
,0.452073097,-46.12
,0.4712523759,-45.58
,0.5053914252,-41.02
,0.59470216,-40.37
,0.787416289,-47.85
,0.9226371653,-58.38
,0.890721257,-67.01
,0.8389619329,-74.92
,0.7929694285,-74.94
,0.7363185546,-77.96
,0.7023299554,-77.91
,0.680753875,-79.79
,0.6776319301,-79.21
,0.6882888082,-77
,0.7116267331,-76.91
,0.737640463,-75.9
,0.7797572752,-89.96
,0.8139509401,-88.18
,0.7849138627,-73.43
,0.7320692162,-66.95
,0.6272158199,-55.3
,0.4501502369,-49.96
,0.4320951903,-50.45
,0.3069474787,-49.11
,0.3134213214,-48.41
,0.3277955902,-49.16
,0.3635662433,-45.27
,0.4543548218,-41.23
,0.625229545,-39.65
,0.7397936216,-30.2
,0.6926820512,-30.24
,0.6396707222,-38.1
,0.5955880091,-40.97
,0.549374787,-42.84
,0.522834197,-46.17
,0.5088249812,-46.03
,0.5091235316,-45.05
,0.5154842899,-45.04
,0.5311275398,-49.13
,0.5588408867,-53.03
,0.5967176563,-65.29
,0.6209674163,-66.04
,0.5927118895,-62.09
,0.5486945059,-51.08
,0.4563481637,-49.66
,0.3148381959,-55.08
,0.3011577582,-48.07
,0.3288316944,-53.66
,0.3357670981,-49.96
,0.3511661988,-48.59
,0.3894871666,-47.54
,0.4867486336,-47.9
,0.6698060903,-48.99
,0.79253816,-49.05
,0.7420677098,-51.85
,0.6852768699,-54.5
,0.6380512229,-66.99
,0.5885431694,-68.67
,0.5601103342,-69.56
,0.5451023136,-70.61
,0.5454221492,-61.86
,0.552236406,-59.86
,0.5689949615,-60.1
,0.5986841669,-65.52
,0.6392614099,-74.99
,0.6652400878,-77.98
,0.6349700467,-74.03
,0.5878143869,-60.14
,0.4888840937,-52.25
,0.3372849905,-54.43
